name,categories,address,price,likes,photos,tips,rating,ratingSignals,has_rating,signals_band,engagement
Grmsh,Pizza Place,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
بوفية سمير,Burger Joint,"4 (4), الرياض 14317, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
الهندب,Fast Food Restaurant,المملكة العربية السعودية,Cheap,0.0,1,0,,,0,,1.0
بسبوسة السعادة,Dessert Shop,"الرياض 14921, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
حلويات مصباح علاء الدين,Dessert Shop,"حي طريق ( طريق المدينة المنورة ), الرياض, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
فيتامين,Caribbean Restaurant,"الرياض, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
اوصخ بوفيه بالرياض,Burger Joint,"الرياض 14921, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
بليلة ولد الديرة,Food Truck,"الرياض 12464, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
اي هوب الصناعية,Breakfast Spot,"الرياض 14925, المملكة العربية السعودية",Cheap,0.0,3,0,,,0,,3.0
Mar0o0my,Seafood Restaurant,"الرياض, المملكة العربية السعودية",Expensive,0.0,1,0,,,0,,1.0
الموال اللباني,American Restaurant,المملكة العربية السعودية,Moderate,0.0,1,1,,,0,,2.0
روح المذاق الهندي,Asian Restaurant,"الدائري الغربي, الرياض, المملكة العربية السعودية",Moderate,0.0,2,0,,,0,,2.0
برقرايزر,"Burger Joint, Fast Food Restaurant","الرياض, المملكة العربية السعودية",Cheap,0.0,2,0,,,0,,2.0
بوفية فهد,Buffet,"الرياض 12992, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
PizzaHut,Pizza Place,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
سيارة ايس كريم تركي الأول,Food Truck,المملكة العربية السعودية,Cheap,0.0,1,0,,,0,,1.0
Coffee Essence,Café,"Riyadh, الرياض, المملكة العربية السعودية",Cheap,0.0,4,1,,,0,,5.0
Edible Arrangements,Dessert Shop,"شارع المدينة المنورة  الدائري الغربي, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
تاج الكبة,Kebab Restaurant,"الرياض, المملكة العربية السعودية",Nan,0.0,1,0,,,0,,1.0
اسماك الجبر,Fish & Chips Shop,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
Drop Juice,Juice Bar,"Al Shaikh Salah Bin Abdul Aziz Bin Abdulrahman Street, الرياض 12993, المملكة العربية السعودية",Cheap,0.0,5,0,,,0,,5.0
السبر للتمور,Bakery,"الرياض 12993, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
مخابز بديع الزمان,Bakery,"السويدي (الشيخ صالح بن عبدالعزيز بن عبدالرحمن), الرياض 12993, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
بيتزا وفطاير تركية,Pizza Place,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
صندوق العصائر,Juice Bar,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
الطعم اللذيذ,Food Truck,"Turki Alawwal, الرياض 13516, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
مخبز الزحمة,Bakery,المملكة العربية السعودية,Cheap,0.0,1,0,,,0,,1.0
مؤسسة شومي العتيبي للخضار,Caribbean Restaurant,المملكة العربية السعودية,Moderate,0.0,0,0,,,0,,0.0
الزين للدواجن,Southern / Soul Food Restaurant,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
فلافل وكشري القاهرة,Falafel Restaurant,المملكة العربية السعودية,Cheap,0.0,1,0,,,0,,1.0
محل المنتو,Asian Restaurant,المملكة العربية السعودية,Moderate,0.0,0,0,,,0,,0.0
بيتزا وفطائر اسكندرون,Pizza Place,"شارع بديع الزمان الهمذاني, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
شكن,Burrito Place,"الرياض 12985, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
شراحيلي للدواجن,Fried Chicken Joint,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
كفتريا سويس,Arepa Restaurant,المملكة العربية السعودية,Cheap,0.0,3,0,,,0,,3.0
عصاير على كيفك بالمكسرلت,Juice Bar,"الرياض, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
محامص,Tea Room,المملكة العربية السعودية,Moderate,0.0,1,0,,,0,,1.0
The Mad Kitchen,Steakhouse,"Az Zahrah, الرياض, المملكة العربية السعودية",Very Expensive,0.0,0,0,,,0,,0.0
مقهاة,Café,"طريق عائشة رضي الله عنها مخرج 25, الرياض, المملكة العربية السعودية",Cheap,0.0,7,0,,,0,,7.0
بيتزا وفطائر العبدالعزيز,Pizza Place,"A'ashih Bint Abi Bakar Street, الرياض, المملكة العربية السعودية",Cheap,0.0,8,0,,,0,,8.0
قرصان الغامدي,Bakery,"السويدي (شارع البلد الأمين), الرياض, المملكة العربية السعودية",Cheap,0.0,0,2,,,0,,2.0
